권역,펫샵명,전화번호,도로명주소,지번주소,우편번호,인허가일자,영업상태
서울,삼성조류,02-763-1103,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,03120,2016-08-24,영업/정상
서울,뉴욕애견,2264-9032,서울특별시 중구 퇴계로 *** (충무로*가),서울특별시 중구 충무로*가,04558,2008-10-31,영업/정상
서울,펫하우스,02-2274-1259,서울특별시 중구 퇴계로 *** (충무로*가),서울특별시 중구 충무로*가 ***,04558,2012-01-05,영업/정상
서울,롯데마트 서울역점,02-2601-7064,서울특별시 중구 청파로 *** (봉래동*가),서울특별시 중구 봉래동*가 ***,,2012-09-04,영업/정상
서울,왕십리조은동물병원,2297-0075,서울특별시 성동구 왕십리로 *** (하왕십리동),서울특별시 성동구 하왕십리동 ***-*,04710,2014-04-17,영업/정상
서울,미니펫 강아지분양 고양이분양 성수점,02-466-9584,서울특별시 성동구 성덕정길 **-* (성수동*가),서울특별시 성동구 성수동*가 ***-**,04775,2014-07-11,영업/정상
서울,고양이분양 전문 달루나캣츠,02-2299-0014,서울특별시 성동구 왕십리로 *** (도선동),서울특별시 성동구 도선동 ***,04707,2014-08-28,영업/정상
서울,코코애견,2246-8712,"서울특별시 성동구 용답중앙**길 ** (용답동,(*층))",서울특별시 성동구 용답동 **-* (*층),,2011-02-17,영업/정상
서울,(주) 밀레펫 왕십리점,2200-1234,"서울특별시 성동구 왕십리광장로 **, *층 (행당동)",서울특별시 성동구 행당동 ***-***,04750,2013-05-20,영업/정상
서울,하이바이 분양소,02-453-7338,"서울특별시 광진구 자양로 ***, *층 (구의동)",서울특별시 광진구 구의동 ***-**,05038,2014-09-15,영업/정상
서울,미니 & 바니 애견샵,02-3394-5705,"서울특별시 동대문구 장한로 **, 장안현대벤처빌 *층 ***호 (장안동)",서울특별시 동대문구 장안동 ***-* 장안현대벤처빌,02625,2013-02-26,영업/정상
서울,한스강아지방,02-2244-6262,서울특별시 동대문구 망우로**가길 ** (휘경동),,02496,2016-10-17,영업/정상
서울,펫시랑 상봉점,02-496-7649,"서울특별시 중랑구 망우로 ***, B*층 (상봉동, 홈플러스)",서울특별시 중랑구 상봉동 *** B*층 홈플러스,02087,2013-11-19,영업/정상
서울,(주)그린프레밀리,02-944-1050,"서울특별시 성북구 도봉로 ** (길음동, 이마트미아점)",서울특별시 성북구 길음동 **-* 이마트미아점,02728,2012-08-10,영업/정상
서울,러블리펫,02-909-2082,서울특별시 성북구 종암로**길 **-* (하월곡동),서울특별시 성북구 하월곡동 **-**,02739,2016-04-21,영업/정상
서울,러브펫 멀티펫샵 수유역점,02-908-5554,서울특별시 강북구 한천로 **** (번동),서울특별시 강북구 번동 ***-**,01064,2014-05-09,영업/정상
서울,멍스펫,02-983-3866,"서울특별시 강북구 솔샘로**길 ***, *층 (미아동)",서울특별시 강북구 미아동 ***-*,01175,2019-05-16,영업/정상
서울,잇다펫 강아지분양 고양이분양 노원점,02-515-9996,"서울특별시 노원구 한글비석로**길 *, *층 (상계동)",서울특별시 노원구 상계동 ***-***,01655,2026-04-07,영업/정상
서울,경기관상어,2092-2056,"서울특별시 노원구 노원로 ***, 롯데마트 *층 (중계동)",서울특별시 노원구 중계동 *** 롯데마트 *층,01746,2015-01-08,영업/정상
서울,내품멍냥 노원 강아지분양 고양이분양,02-937-5501,"서울특별시 노원구 노원로 ***, 가동 *층 (상계동)",서울특별시 노원구 상계동 ***,01691,2015-10-23,영업/정상
서울,개냥이네 노원본점,070-4193-0080,"서울특별시 노원구 상계로*길 *, *층 (상계동)",서울특별시 노원구 상계동 ***-*,01692,2019-06-04,영업/정상
서울,밀레펫,02-2092-1052,"서울특별시 노원구 마들로*길 **, 월계이마트 *층 (월계동)",서울특별시 노원구 월계동 ***-* 월계이마트 *층,01906,2020-11-23,영업/정상
서울,골드퍼피동물병원 공릉점,02-971-5955,"서울특별시 노원구 동일로 ****, *층, *층 (공릉동)",서울특별시 노원구 공릉동 ***-*,01848,2021-08-02,영업/정상
서울,로얄수족관(본사: 2690-7311),02-380-1054,"서울특별시 은평구 은평로 ***, *층 (응암동)",서울특별시 은평구 응암동 **-* *층,03461,2012-08-23,영업/정상
서울,디지탈디자인(INTERZOO),02-308-8494,"서울특별시 은평구 수색로 ***-*, ***호 (수색동)",서울특별시 은평구 수색동 **-** ***호,03505,2014-07-04,영업/정상
서울,은평애견,02-359-0456,"서울특별시 은평구 연서로 **, ***호 (역촌동)",서울특별시 은평구 역촌동 **-**,03406,2017-06-12,영업/정상
서울,예일,02-303-2066,서울특별시 서대문구 거북골로 ** (홍은동),서울특별시 서대문구 홍은동 ***-**,03662,2017-11-16,영업/정상
서울,몽냥몽냥,02-332-7660,"서울특별시 서대문구 신촌로 **, *층 (창천동)",서울특별시 서대문구 창천동 ***-**,03785,2019-08-01,영업/정상
서울,비쇼네 이대점,02-363-1781,"서울특별시 서대문구 이화여대길 **, *층 (대현동)",서울특별시 서대문구 대현동 ***-**,03765,2024-11-25,영업/정상
서울,서울준동물병원,02-6954-7522,"서울특별시 마포구 대흥로**길 **, 상가 B층 ***호 (염리동, 마포프레스티지자이)",서울특별시 마포구 염리동 *** 마포프레스티지자이,04124,2023-04-07,영업/정상
서울,슈가네,02-6396-8234,서울특별시 마포구 연남로 ** (연남동),서울특별시 마포구 연남동 ***-**,03977,2016-05-03,영업/정상
서울,서진 동물병원,02-336-3929,서울특별시 마포구 신촌로**길 **(노고산동),서울특별시 마포구 노고산동 **-*,04057,2018-01-17,영업/정상
서울,(주)상상유니버스,070-7719-0028,"서울특별시 마포구 동교로**길 **, *층 (동교동)",서울특별시 마포구 동교동 ***-*,03992,2018-12-06,영업/정상
서울,행복한세상,070-7719-0029,"서울특별시 마포구 동교로**길 **, *층 (동교동)",서울특별시 마포구 동교동 ***-*,03992,2024-07-15,영업/정상
서울,목동 요미독앤캣 강아지분양 고양이분양,02-6397-1566,"서울특별시 양천구 신월로 ***, *층 (신정동)",서울특별시 양천구 신정동 ****-*,08082,2020-06-12,영업/정상
서울,우신펫샵,02-2699-9295,"서울특별시 양천구 중앙로 ***, *층 (신월동)",서울특별시 양천구 신월동 ***-**,08028,2025-02-14,영업/정상
서울,밀레펫(이마트 목동점),031-485-5820,"서울특별시 양천구 오목로 *** (목동,목동트라팰리스 지하 *층)",서울특별시 양천구 목동 *** 목동트라팰리스 지하 *층,,2012-08-22,영업/정상
서울,아프리카펫센터,02-3665-7579,"서울특별시 강서구 공항대로 *** (등촌동, 경왕빌딩)",서울특별시 강서구 등촌동,07590,2011-08-30,영업/정상
서울,(주)그린아쿠아펫,02-2660-8000,"서울특별시 강서구 화곡로 ***, 홈플러스강서점앤본사사옥 *층 (등촌동)",서울특별시 강서구 등촌동 ***-** 홈플러스강서점앤본사사옥,07567,2012-08-17,영업/정상
서울,강동수족관(롯데마트 김포공항점),02-2601-7064,"서울특별시 강서구 하늘길 ** (방화동, 스카이시티)",서울특별시 강서구 방화동,07505,2012-09-04,영업/정상
서울,도그플러스 동물병원,02-3662-3533,"서울특별시 강서구 화곡로 *** (등촌동, 삼성홈플러스강서점)",서울특별시 강서구 등촌동,07567,2014-10-15,영업/정상
서울,놀러오개,070-4062-0707,서울특별시 강서구 까치산로 ** (화곡동),서울특별시 강서구 화곡동 **-***,07721,2019-03-06,영업/정상
