권역,약국명,전화번호,도로명주소,지번주소,우편번호,인허가일자,영업상태
서울,성대정문약국,02-762-8788,"서울특별시 종로구 성균관로 34, 지강빌딩 1층 (명륜1가)",서울특별시 종로구 명륜1가 101-1 지강빌딩,03074,2026-07-15,영업/정상
서울,보배종로약국,02-2276-1173,"서울특별시 종로구 종로 226-1, 1층 (종로5가)",서울특별시 종로구 종로5가 193-4,03196,2024-09-19,영업/정상
서울,유한약국,02-2272-4746,"서울특별시 종로구 종로 230-2, 1층 (종로5가)",서울특별시 종로구 종로5가 193-1,03196,2020-04-02,영업/정상
서울,종각역약국,02-6941-0453,"서울특별시 종로구 종로 지하55, 종각지하철역사 지하 1층 152-114호 (종로1가)",서울특별시 종로구 종로1가 54 종각지하철역사,03161,2023-08-04,영업/정상
서울,종로삼성약국,02-2285-5631,"서울특별시 종로구 종로 244-1, 1층 (종로5가)",서울특별시 종로구 종로5가 231-1,03197,2024-12-17,영업/정상
서울,종로프라자약국,02-736-0806,서울특별시 종로구 자하문로 63 (옥인동),서울특별시 종로구 옥인동 19-33,03035,2013-07-05,영업/정상
서울,백수약국,02-766-1083,"서울특별시 종로구 종로 233-1, 메디칼라움빌딩 1층 (종로5가)",서울특별시 종로구 종로5가 42-1 메디칼라움빌딩,03126,2026-08-04,영업/정상
서울,선아약국,02-2273-7573,"서울특별시 종로구 수표로20길 43, 1층 (종로3가)",서울특별시 종로구 종로3가 132-1,03192,2026-08-04,영업/정상
서울,부광약국,02-762-8844,"서울특별시 종로구 종로 223-1, 부광약국 1층 (종로5가)",서울특별시 종로구 종로5가 62-1 부광약국,03126,2025-02-18,영업/정상
서울,호수약국,02-733-5300,"서울특별시 종로구 삼봉로 57, 호수빌딩 지하1층 (수송동)",서울특별시 종로구 수송동 68-1 호수빌딩 지하 1층,03151,2024-04-01,영업/정상
서울,파란문약국,02-723-6209,"서울특별시 종로구 송월길 155, 1층 4112~4113호 (교북동, 경희궁자이 4단지)",서울특별시 종로구 교북동 126 경희궁자이 4단지,03165,2023-07-17,영업/정상
서울,제신약국,02-2267-3690,"서울특별시 종로구 종로 266, 동대문종합시장 D동 1층 1호 (종로6가)",서울특별시 종로구 종로6가 262-1 동대문종합시장,03198,2023-04-14,영업/정상
서울,종로태양약국,02-766-1777,"서울특별시 종로구 종로 191, 1층 (종로4가)",서울특별시 종로구 종로4가 10,03130,2023-08-07,영업/정상
서울,한마음약국,070-8953-6806,"서울특별시 종로구 창경궁로 158, 1층 (원남동)",서울특별시 종로구 원남동 118-1,03081,2023-06-21,영업/정상
서울,종로온누리약국,02-742-0900,"서울특별시 종로구 종로 293, 디에스 빌딩 1층 (창신동)",서울특별시 종로구 창신동 562 디에스 빌딩,03106,2024-08-20,영업/정상
서울,메디팜삼현약국,02-722-9859,"서울특별시 종로구 새문안로3길 15, 동원빌딩 1층 (당주동)",서울특별시 종로구 당주동 128-27 동원빌딩,03175,2021-08-09,영업/정상
서울,온유약국,02-745-5487,서울특별시 종로구 종로 205 (종로5가),서울특별시 종로구 종로5가 102,03129,2021-06-08,영업/정상
서울,우정약국,02-2277-8566,"서울특별시 종로구 종로 200, 1층 (종로4가)",서울특별시 종로구 종로4가 176-1,03195,2024-09-02,영업/정상
서울,종로우리약국,02-2275-4700,"서울특별시 종로구 종로 202, 1층 (종로4가)",서울특별시 종로구 종로4가 182,03195,2021-05-31,영업/정상
서울,종근당약국,02-313-4997,"서울특별시 종로구 종로 230-1, 21호 (종로5가)",서울특별시 종로구 종로5가 193-20,03196,2021-04-21,영업/정상
서울,빨간문약국,070-4843-8898,"서울특별시 종로구 송월길 99, 2124호 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 경희궁자이 2단지,03165,2025-06-30,영업/정상
서울,문우약국,02-733-1088,"서울특별시 종로구 율곡로 지하62, 3호선 안국역 지하3층 316호 (안국동)",서울특별시 종로구 안국동 73-1 3호선 안국역,03147,2023-12-26,영업/정상
서울,창신종로약국,02-3672-0845,"서울특별시 종로구 창신길 47, 1층 (창신동)",서울특별시 종로구 창신동 647-16,03097,2019-01-11,영업/정상
서울,정약국,02-534-8376,"서울특별시 종로구 종로 115, 낙원빌딩 4층 (종로3가)",서울특별시 종로구 종로3가 10 낙원빌딩,03139,2023-02-16,영업/정상
서울,동아약국,02-2285-5702,서울특별시 종로구 종로 192(종로4가),서울특별시 종로구 종로4가 149-1 독일약국,03195,2022-10-21,영업/정상
서울,힐링약국,02-723-6593,"서울특별시 종로구 종로5길 13, 삼공빌딩 지하1층 (청진동)",서울특별시 종로구 청진동 136 삼공빌딩 지하1층,03157,2024-01-16,영업/정상
서울,하늘약국,02-733-9006,"서울특별시 종로구 종로 19, 르메이에르종로타운1 2층 226-2호 (종로1가)",서울특별시 종로구 종로1가 24 르메이에르종로타운1,03157,2021-06-08,영업/정상
서울,옵티마 웰니스 뮤지엄 약국,02-738-2962,"서울특별시 종로구 청계천로 41, 영풍빌딩 지하2층 B202호 (서린동)",서울특별시 종로구 서린동 33 영풍빌딩,03188,2025-12-09,영업/정상
서울,동남약국,02-2273-3233,서울특별시 종로구 종로 124 (종로3가),서울특별시 종로구 종로3가 123-2,03192,2016-01-22,영업/정상
서울,대학약국,02-3672-3672,"서울특별시 종로구 창경궁로 162, 1, 2층 (원남동)",서울특별시 종로구 원남동 133-1,03081,2024-06-27,영업/정상
