권역,약국명,전화번호,도로명주소,지번주소,우편번호,인허가일자,영업상태
서울,동시약국,,"서울특별시 종로구 종로 202-1, 동흥빌딩 1층 (종로4가)",서울특별시 종로구 종로4가 165-1 동흥빌딩,03195,2026-09-03,영업/정상
서울,세검정약국,,"서울특별시 종로구 세검정로6길 104, 1층 (신영동)",서울특별시 종로구 신영동 105-30,03019,2025-10-23,영업/정상
서울,성대정문약국,02-762-8788,"서울특별시 종로구 성균관로 34, 지강빌딩 1층 (명륜1가)",서울특별시 종로구 명륜1가 101-1 지강빌딩,03074,2026-07-15,영업/정상
서울,행복약국,,"서울특별시 종로구 자하문로 1, 1층 (내자동)",서울특별시 종로구 내자동 67-1,03041,2023-10-20,영업/정상
서울,종로이층약국,,"서울특별시 종로구 종로 19, 르메이에르종로타운1 2층 225(일부)호 (종로1가)",서울특별시 종로구 종로1가 24 르메이에르종로타운1,03157,2025-09-09,영업/정상
서울,안국365약국,,"서울특별시 종로구 북촌로 2, 1층 (재동)",서울특별시 종로구 재동 92,03059,2020-09-09,영업/정상
서울,보배종로약국,02-2276-1173,"서울특별시 종로구 종로 226-1, 1층 (종로5가)",서울특별시 종로구 종로5가 193-4,03196,2024-09-19,영업/정상
서울,유한약국,02-2272-4746,"서울특별시 종로구 종로 230-2, 1층 (종로5가)",서울특별시 종로구 종로5가 193-1,03196,2020-04-02,영업/정상
서울,북촌웰니스뮤지엄약국,,서울특별시 종로구 계동길 33-2 (계동),서울특별시 종로구 계동 104-1,03059,2026-04-29,영업/정상
서울,종각역약국,02-6941-0453,"서울특별시 종로구 종로 지하55, 종각지하철역사 지하 1층 152-114호 (종로1가)",서울특별시 종로구 종로1가 54 종각지하철역사,03161,2023-08-04,영업/정상
서울,금송약국,,"서울특별시 종로구 종로 226, 송화빌딩 1층 금송약국 (종로5가)",서울특별시 종로구 종로5가 193-5 송화빌딩,03196,2022-05-10,영업/정상
서울,종로삼성약국,02-2285-5631,"서울특별시 종로구 종로 244-1, 1층 (종로5가)",서울특별시 종로구 종로5가 231-1,03197,2024-12-17,영업/정상
서울,바로약국,,"서울특별시 종로구 종로 33, 그랑서울 B137호 (청진동)",서울특별시 종로구 청진동 70 그랑서울,03159,2021-06-24,영업/정상
