권역,펫샵명,전화번호,도로명주소,지번주소,우편번호,인허가일자,영업상태
서울,요기독 강아지분양 고양이분양 서울본점,,"서울특별시 종로구 지봉로 **, ***호 (창신동, 브라운스톤 창신)",서울특별시 종로구 창신동 **-** 브라운스톤 창신 ***호,03095,2019-01-06,영업/정상
서울,가든조류원,,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,03120,2016-08-24,영업/정상
서울,형제조류,,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,03120,2016-08-24,영업/정상
서울,미화조류,,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,03120,2016-08-24,영업/정상
서울,삼성조류,02-763-1103,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,03120,2016-08-24,영업/정상
서울,Amimong(아미몽),,"서울특별시 중구 왕십리로 ***, **층 ****호 (신당동)",서울특별시 중구 신당동 ***,04580,2023-11-21,영업/정상
서울,뉴욕애견,2264-9032,서울특별시 중구 퇴계로 *** (충무로*가),서울특별시 중구 충무로*가,04558,2008-10-31,영업/정상
서울,펫하우스,02-2274-1259,서울특별시 중구 퇴계로 *** (충무로*가),서울특별시 중구 충무로*가 ***,04558,2012-01-05,영업/정상
서울,롯데마트 서울역점,02-2601-7064,서울특별시 중구 청파로 *** (봉래동*가),서울특별시 중구 봉래동*가 ***,,2012-09-04,영업/정상
서울,유한회사 한국동물보육연합회,,"서울특별시 중구 동호로*길 **, ***호 (신당동)",서울특별시 중구 신당동 ***-***,04596,2018-02-28,영업/정상
서울,해피애견타운 강아지고양이 서울충무로점,,"서울특별시 중구 퇴계로 ***, B**호 (묵정동)",서울특별시 중구 묵정동 **-*,04619,2023-04-06,영업/정상
서울,해피캣타운 고양이강아지 서울충무로점,,"서울특별시 중구 퇴계로 ***, B**호 (묵정동)",서울특별시 중구 묵정동 **-*,04619,2023-05-15,영업/정상
서울,라온동물병원,,"서울특별시 용산구 회나무로 *, *층 (이태원동)",서울특별시 용산구 이태원동 ***,04343,2009-05-18,영업/정상
서울,펫토이동물병원,,서울특별시 용산구 대사관로 ** (한남동),서울특별시 용산구 한남동 ***-**,,2010-11-25,영업/정상
서울,그린프레밀리,,"서울특별시 용산구 한강대로**길 **, 지하*층 (한강로*가)",서울특별시 용산구 한강로*가 **-*** 지하*층,04377,2014-06-17,영업/정상
서울,서울 강아지 분양 고양이 분양 도그마루,,"서울특별시 용산구 서빙고로 **, ****호 (한강로*가)",서울특별시 용산구 한강로*가 **,04387,2022-11-04,영업/정상
서울,퍼피블리,,"서울특별시 성동구 무학로 **, B***호 (하왕십리동, 텐즈힐)",서울특별시 성동구 하왕십리동 **** 텐즈힐,04702,2026-04-07,영업/정상
서울,서울고양이분양 강아지분양 모아펫 왕십리점,,"서울특별시 성동구 마조로 **, *층 (마장동)",서울특별시 성동구 마장동 ***-*,04758,2026-02-12,영업/정상
서울,왕십리조은동물병원,2297-0075,서울특별시 성동구 왕십리로 *** (하왕십리동),서울특별시 성동구 하왕십리동 ***-*,04710,2014-04-17,영업/정상
서울,미니펫 강아지분양 고양이분양 성수점,02-466-9584,서울특별시 성동구 성덕정길 **-* (성수동*가),서울특별시 성동구 성수동*가 ***-**,04775,2014-07-11,영업/정상
서울,고양이분양 전문 달루나캣츠,02-2299-0014,서울특별시 성동구 왕십리로 *** (도선동),서울특별시 성동구 도선동 ***,04707,2014-08-28,영업/정상
서울,도그컴퍼니,,"서울특별시 성동구 아차산로*길 **-*, *층 (성수동*가, 은하여관)",서울특별시 성동구 성수동*가 ***-***,04795,2016-06-01,영업/정상
서울,도그마루(왕십리점),,"서울특별시 성동구 마장로 ***, ***동 *층 ****호 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 *** 텐즈힐몰(***동) ****호,04700,2016-12-15,영업/정상
서울,펫츠온더포인트,,"서울특별시 성동구 서울숲*길 **-*, *층 (성수동*가)",서울특별시 성동구 성수동*가 ***-**,04768,2019-08-08,영업/정상
서울,나비캣,,"서울특별시 성동구 금호로 ***, *층 (금호동*가)",서울특별시 성동구 금호동*가 *** *층,04721,2020-04-28,영업/정상
서울,펫살롱,,"서울특별시 성동구 마장로 ***, ***동 *층 ****호 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 *** 텐즈힐상가 ****호,04700,2022-08-24,영업/정상
서울,아띠몽,,"서울특별시 성동구 왕십리로 ***, L동 b***호 (하왕십리동, 센트라스)",서울특별시 성동구 하왕십리동 **** 센트라스 L동 b***호,04701,2024-01-11,영업/정상
서울,길고양이마을 성수협력2호점,,"서울특별시 성동구 아차산로 **, 현진빌딩 *층 (성수동*가)",서울특별시 성동구 성수동*가 ***-** 현진빌딩,04794,2025-09-09,영업/정상
서울,코코애견,2246-8712,"서울특별시 성동구 용답중앙**길 ** (용답동,(*층))",서울특별시 성동구 용답동 **-* (*층),,2011-02-17,영업/정상
서울,(주) 밀레펫 왕십리점,2200-1234,"서울특별시 성동구 왕십리광장로 **, *층 (행당동)",서울특별시 성동구 행당동 ***-***,04750,2013-05-20,영업/정상
서울,반값애견,,"서울특별시 성동구 장터길 **, *층 (금호동*가)",서울특별시 성동구 금호동*가 **** *층,04725,2014-03-19,영업/정상
