우편번호,주소,상세주소,받는분(매장명),직함,전화번호,메모(제안내용)
03120,"서울특별시 종로구 청계천로 ***, D동 *층 **호 (창신동)",,삼성조류,대표님(원장님) 귀하,02-763-1103,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04558,서울특별시 중구 퇴계로 *** (충무로*가),,뉴욕애견,대표님(원장님) 귀하,2264-9032,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04558,서울특별시 중구 퇴계로 *** (충무로*가),,펫하우스,대표님(원장님) 귀하,02-2274-1259,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,서울특별시 중구 청파로 *** (봉래동*가),,롯데마트 서울역점,대표님(원장님) 귀하,02-2601-7064,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04710,서울특별시 성동구 왕십리로 *** (하왕십리동),,왕십리조은동물병원,대표님(원장님) 귀하,2297-0075,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04775,서울특별시 성동구 성덕정길 **-* (성수동*가),,미니펫 강아지분양 고양이분양 성수점,대표님(원장님) 귀하,02-466-9584,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04707,서울특별시 성동구 왕십리로 *** (도선동),,고양이분양 전문 달루나캣츠,대표님(원장님) 귀하,02-2299-0014,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"서울특별시 성동구 용답중앙**길 ** (용답동,(*층))",,코코애견,대표님(원장님) 귀하,2246-8712,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04750,"서울특별시 성동구 왕십리광장로 **, *층 (행당동)",,(주) 밀레펫 왕십리점,대표님(원장님) 귀하,2200-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05038,"서울특별시 광진구 자양로 ***, *층 (구의동)",,하이바이 분양소,대표님(원장님) 귀하,02-453-7338,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
02625,"서울특별시 동대문구 장한로 **, 장안현대벤처빌 *층 ***호 (장안동)",,미니 & 바니 애견샵,대표님(원장님) 귀하,02-3394-5705,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
02496,서울특별시 동대문구 망우로**가길 ** (휘경동),,한스강아지방,대표님(원장님) 귀하,02-2244-6262,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
02087,"서울특별시 중랑구 망우로 ***, B*층 (상봉동, 홈플러스)",,펫시랑 상봉점,대표님(원장님) 귀하,02-496-7649,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
02728,"서울특별시 성북구 도봉로 ** (길음동, 이마트미아점)",,(주)그린프레밀리,대표님(원장님) 귀하,02-944-1050,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
02739,서울특별시 성북구 종암로**길 **-* (하월곡동),,러블리펫,대표님(원장님) 귀하,02-909-2082,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01064,서울특별시 강북구 한천로 **** (번동),,러브펫 멀티펫샵 수유역점,대표님(원장님) 귀하,02-908-5554,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01175,"서울특별시 강북구 솔샘로**길 ***, *층 (미아동)",,멍스펫,대표님(원장님) 귀하,02-983-3866,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01655,"서울특별시 노원구 한글비석로**길 *, *층 (상계동)",,잇다펫 강아지분양 고양이분양 노원점,대표님(원장님) 귀하,02-515-9996,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01746,"서울특별시 노원구 노원로 ***, 롯데마트 *층 (중계동)",,경기관상어,대표님(원장님) 귀하,2092-2056,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01691,"서울특별시 노원구 노원로 ***, 가동 *층 (상계동)",,내품멍냥 노원 강아지분양 고양이분양,대표님(원장님) 귀하,02-937-5501,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01692,"서울특별시 노원구 상계로*길 *, *층 (상계동)",,개냥이네 노원본점,대표님(원장님) 귀하,070-4193-0080,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01906,"서울특별시 노원구 마들로*길 **, 월계이마트 *층 (월계동)",,밀레펫,대표님(원장님) 귀하,02-2092-1052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
01848,"서울특별시 노원구 동일로 ****, *층, *층 (공릉동)",,골드퍼피동물병원 공릉점,대표님(원장님) 귀하,02-971-5955,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03461,"서울특별시 은평구 은평로 ***, *층 (응암동)",,로얄수족관(본사: 2690-7311),대표님(원장님) 귀하,02-380-1054,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03505,"서울특별시 은평구 수색로 ***-*, ***호 (수색동)",,디지탈디자인(INTERZOO),대표님(원장님) 귀하,02-308-8494,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03406,"서울특별시 은평구 연서로 **, ***호 (역촌동)",,은평애견,대표님(원장님) 귀하,02-359-0456,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03662,서울특별시 서대문구 거북골로 ** (홍은동),,예일,대표님(원장님) 귀하,02-303-2066,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03785,"서울특별시 서대문구 신촌로 **, *층 (창천동)",,몽냥몽냥,대표님(원장님) 귀하,02-332-7660,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03765,"서울특별시 서대문구 이화여대길 **, *층 (대현동)",,비쇼네 이대점,대표님(원장님) 귀하,02-363-1781,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04124,"서울특별시 마포구 대흥로**길 **, 상가 B층 ***호 (염리동, 마포프레스티지자이)",,서울준동물병원,대표님(원장님) 귀하,02-6954-7522,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03977,서울특별시 마포구 연남로 ** (연남동),,슈가네,대표님(원장님) 귀하,02-6396-8234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
04057,서울특별시 마포구 신촌로**길 **(노고산동),,서진 동물병원,대표님(원장님) 귀하,02-336-3929,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03992,"서울특별시 마포구 동교로**길 **, *층 (동교동)",,(주)상상유니버스,대표님(원장님) 귀하,070-7719-0028,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
03992,"서울특별시 마포구 동교로**길 **, *층 (동교동)",,행복한세상,대표님(원장님) 귀하,070-7719-0029,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08082,"서울특별시 양천구 신월로 ***, *층 (신정동)",,목동 요미독앤캣 강아지분양 고양이분양,대표님(원장님) 귀하,02-6397-1566,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08028,"서울특별시 양천구 중앙로 ***, *층 (신월동)",,우신펫샵,대표님(원장님) 귀하,02-2699-9295,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"서울특별시 양천구 오목로 *** (목동,목동트라팰리스 지하 *층)",,밀레펫(이마트 목동점),대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07590,"서울특별시 강서구 공항대로 *** (등촌동, 경왕빌딩)",,아프리카펫센터,대표님(원장님) 귀하,02-3665-7579,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07567,"서울특별시 강서구 화곡로 ***, 홈플러스강서점앤본사사옥 *층 (등촌동)",,(주)그린아쿠아펫,대표님(원장님) 귀하,02-2660-8000,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07505,"서울특별시 강서구 하늘길 ** (방화동, 스카이시티)",,강동수족관(롯데마트 김포공항점),대표님(원장님) 귀하,02-2601-7064,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07567,"서울특별시 강서구 화곡로 *** (등촌동, 삼성홈플러스강서점)",,도그플러스 동물병원,대표님(원장님) 귀하,02-3662-3533,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07721,서울특별시 강서구 까치산로 ** (화곡동),,놀러오개,대표님(원장님) 귀하,070-4062-0707,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07543,서울특별시 강서구 양천로 ***-*(염창동),,푸른들동물병원,대표님(원장님) 귀하,02-2699-1222,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07526,"서울특별시 강서구 양천로**길 **-**, 이스타빌*차 *층 ***호 (가양동)",,해맑은 동물병원,대표님(원장님) 귀하,02-3663-7584,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08311,서울특별시 구로구 구로동로**길 ** (구로동),,구로애조원,대표님(원장님) 귀하,02-868-5911,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08206,"서울특별시 구로구 신도림로 *, ***호 (신도림동)",,구로다나은동물병원,대표님(원장님) 귀하,02-2672-7582,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08379,서울특별시 구로구 디지털로**길 ** (구로동),,로얄수족관,대표님(원장님) 귀하,2690-7311,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"서울특별시 금천구 시흥대로 *** (독산동,홈플러스 *층)",,아쿠아플러스(주) 금천점,대표님(원장님) 귀하,02-890-8000,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08628,"서울특별시 금천구 시흥대로 ***, *층 (시흥동)",,도그킹,대표님(원장님) 귀하,02-6487-2227,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
