권역,지역구,펫샵명,휴대폰번호,일반전화,도로명주소,업종상세
서울,성동구,미니펫 강아지분양 고양이분양 성수점,010-4099-9584,02-466-9584,서울특별시 성동구 성덕정길 89-1 (성수동1가),프리미엄 강아지/고양이 분양
서울,송파구,달루나캣츠 고양이전문 잠실본점,010-8020-5952,02-2299-0014,서울특별시 성동구 왕십리로 373 (도선동),고양이 전문 분양샵
서울,광진구,하이바이 분양소 구의점,010-3232-7969,02-453-7338,서울특별시 광진구 자양로 189 (구의동),강아지/고양이 안심 분양
서울,동대문구,미니 & 바니 애견샵 장안점,010-9455-8999,02-3394-5705,서울특별시 동대문구 장한로 21 (장안동),애견 분양 및 미용
서울,노원구,잇다펫 강아지분양 노원점,010-8300-1349,02-515-9996,서울특별시 노원구 한글비석로24길 6 (상계동),강아지/고양이 분양
서울,노원구,개냥이네 노원본점,010-8811-1410,070-4193-0080,서울특별시 노원구 상계로7길 7 (상계동),강아지/고양이 직영 분양
서울,영등포구,베이비몽 영등포 본점,010-8325-0086,02-6180-0086,서울특별시 영등포구 영중로 23 (영등포동4가),프리미엄 애견 분양
서울,영등포구,퍼피로운 신길점,010-2786-4449,02-835-7572,서울특별시 영등포구 신길로 77 (신길동),강아지 전문 분양
서울,영등포구,요미독 영등포점,010-5161-1432,02-2634-8275,서울특별시 영등포구 영중로 15 (영등포동4가),반려동물 안심 분양
서울,강남구,라온캣 강남직영점,010-5840-9508,02-548-8844,서울특별시 강남구 선릉로 551 (논현동),고양이 전문 프리미엄 분양
서울,송파구,몽냥몽냥 송파점,010-7654-0456,02-415-7580,서울특별시 송파구 백제고분로 242 (삼전동),강아지/고양이 분양
서울,송파구,해피애견타운 송파본점,010-6825-3667,02-424-2955,서울특별시 송파구 삼학사로 72 (삼전동),애견 분양 및 호텔
서울,강동구,포포앤미루 강동점,010-8941-7176,02-471-8825,서울특별시 강동구 양재대로89가길 30 (성내동),애견 분양 및 카페
서울,금천구,더독스 금천본점,010-9221-9253,02-6487-2227,서울특별시 금천구 시흥대로 379 (시흥동),강아지 전문 분양
서울,성북구,요미독 성북점,010-8332-4987,02-909-2082,서울특별시 성북구 종암로21길 18 (하월곡동),강아지/고양이 분양
인천,미추홀구,버디독 안심분양센터 인천점,010-5598-5948,070-4795-9394,인천광역시 미추홀구 주안로 148 (주안동),강아지/고양이 안심 분양
인천,연수구,퍼피하우스 인천송도점,010-8942-6023,070-4197-9594,인천광역시 연수구 신송로 165-19 (송도동),소형견/특수견 전문 분양
인천,남동구,홍스퍼피 인천본점,010-2838-6300,1670-2699,인천광역시 남동구 남동대로 890 (간석동),강아지 프리미엄 분양
인천,남동구,아담스펫 인천본점,010-4319-5002,032-471-0289,인천광역시 남동구 인주대로 788 (만수동),자견 전문 분양 및 케어
인천,부평구,테디럽 인천점,010-2657-2252,032-551-7896,인천광역시 부평구 부평문화로 45 (부평동),토이푸들/말티푸 전문 분양
인천,서구,베이비몽 강아지분양 인천청라점,010-9952-7025,032-561-9770,인천광역시 서구 옥빛로7번안길 3 (청라동),안심 자견 분양
경기,수원시,아이러브독 수원영통점,010-9319-2357,031-204-2357,경기도 수원시 영통구 반달로 84 (영통동),말티푸/미니비숑 전문 분양
경기,수원시,홍스퍼피 수원본점,010-9820-6661,031-226-1515,경기도 수원시 권선구 정조로 542 (세류동),강아지/고양이 분양
경기,성남시,시그니처펍스 위례본점,010-2395-7347,031-757-4885,경기도 성남시 수정구 위례순환로4길 28 (창곡동),프리미엄 소형견 전문 분양
경기,부천시,오케이독 부천본점,010-3658-1932,032-326-8990,경기도 부천시 원미구 길주로 279 (중동),대형/중소형견 전문 안심 분양
경기,평택시,파라다이스펫 평택점,010-7200-0083,031-664-1010,경기도 평택시 송탄로 210 (서정동),강아지 분양 및 호텔
경기,평택시,드림독 안심분양센터 평택점,010-3592-7940,031-668-7955,경기도 평택시 송탄로 188 (지산동),소형견 자견 분양
경기,시흥시,모아펫 시흥본점,010-9584-8249,031-317-6885,경기도 시흥시 장곡로53번길 15 (장곡동),전국 안심 이동 분양
경기,고양시,퍼피에몽 일산점,010-5234-5670,031-814-7749,경기도 고양시 일산동구 무궁화로181번길 34 (정발산동),자견 전문 분양
경기,고양시,더펫 일산점,010-3458-0430,031-919-8910,경기도 고양시 일산서구 대화동 2222,애견 분양 및 호텔
경기,고양시,라펫 일산점,010-5916-8546,031-979-9798,경기도 고양시 덕양구 서정마을로 2 (행신동),소형견/특수견 분양
경기,파주시,동물보육원 파주지부,010-8429-9572,031-944-5575,경기도 파주시 교하로 45 (목동동),가정견 및 자견 입양센터
경기,파주시,유어펫라운지 파주점,010-6619-2225,031-946-3999,경기도 파주시 산내로7번길 20-30 (목동동),프리미엄 애견 분양
경기,김포시,라이프독 김포점,010-9952-7025,031-988-6311,경기도 김포시 김포한강4로 8 (장기동),강아지/고양이 전문 분양
경기,남양주시,도그캐슬 남양주다산점,010-5799-2277,031-552-7978,경기도 남양주시 다산순환로 212 (다산동),포메라니안/푸들 전문 분양
경기,구리시,스타트독 구리점,010-5782-0703,031-555-8666,경기도 구리시 체육관로 149 (교문동),애견 분양 및 호텔
경기,구리시,요미독 구리점,010-2378-4101,031-557-6767,경기도 구리시 장자대로86번길 18 (수택동),강아지/고양이 분양
경기,의정부시,요미독 의정부점,010-2708-2519,031-846-8255,경기도 의정부시 호국로 1319 (의정부동),반려동물 안심 분양
경기,하남시,착한애견분양 하남직영점,010-2814-7457,031-792-5956,경기도 하남시 미사강변중앙로 218 (망월동),자견 전문 안심 분양
경기,하남시,하남 멍앤냥,010-5802-8047,031-793-6359,경기도 하남시 신장동로 68 (신장동),강아지/고양이 분양
경기,용인시,펫퍼스트 용인점,010-6725-8687,031-275-8833,경기도 용인시 기흥구 동백중앙로 283 (중동),자견 전문 분양
경기,용인시,정순정 켄넬 용인,010-4864-5937,031-321-3322,경기도 용인시 처인구 양지읍 죽양대로 2043,말티푸/비숑 전문 켄넬
경기,광주시,알로하펍앤코 경기광주,010-7677-1281,031-726-4800,경기도 광주시 신현동 태재로 45,강아지 분양 및 호텔
