순번,발송일시,분류,권역,상호및기관명,수신번호,발송성공,HTTP코드,결과코드,결과메시지,msg_id
1,2026-09-08 16:35:55,펫샵/분양샵,서울,미니펫 강아지분양 성수점,01040999584,True,200,1,success,1445217636
2,2026-09-08 16:35:56,펫샵/분양샵,서울,달루나캣츠 고양이전문 잠실본점,01080205952,True,200,1,success,1445217650
3,2026-09-08 16:35:56,펫샵/분양샵,서울,하이바이 분양소 구의점,01032327969,True,200,1,success,1445217669
4,2026-09-08 16:35:57,펫샵/분양샵,서울,미니 & 바니 애견샵 장안점,01094558999,True,200,1,success,1445217690
5,2026-09-08 16:35:58,펫샵/분양샵,서울,잇다펫 강아지분양 노원점,01083001349,True,200,1,success,1445217709
6,2026-09-08 16:35:59,펫샵/분양샵,서울,개냥이네 노원본점,01088111410,True,200,1,success,1445217734
7,2026-09-08 16:36:00,펫샵/분양샵,서울,베이비몽 영등포 본점,01083250086,True,200,1,success,1445217750
8,2026-09-08 16:36:01,펫샵/분양샵,서울,퍼피로운 신길점,01027864449,True,200,1,success,1445217763
9,2026-09-08 16:36:01,펫샵/분양샵,서울,요미독 영등포점,01051611432,True,200,1,success,1445217776
10,2026-09-08 16:36:02,펫샵/분양샵,서울,라온캣 강남직영점,01058409508,True,200,1,success,1445217790
11,2026-09-08 16:36:03,펫샵/분양샵,서울,몽냥몽냥 송파점,01076540456,True,200,1,success,1445217809
12,2026-09-08 16:36:03,펫샵/분양샵,서울,해피애견타운 송파본점,01068253667,True,200,1,success,1445217832
13,2026-09-08 16:36:05,펫샵/분양샵,서울,포포앤미루 강동점,01089417176,True,200,1,success,1445217894
14,2026-09-08 16:36:06,펫샵/분양샵,서울,더독스 금천본점,01092219253,True,200,1,success,1445217904
15,2026-09-08 16:36:07,펫샵/분양샵,서울,요미독 성북점,01083324987,True,200,1,success,1445217918
16,2026-09-08 16:36:08,펫샵/분양샵,인천,버디독 안심분양센터 인천점,01055985948,True,200,1,success,1445217929
17,2026-09-08 16:36:08,펫샵/분양샵,인천,퍼피하우스 인천송도점,01089426023,True,200,1,success,1445217940
18,2026-09-08 16:36:09,펫샵/분양샵,인천,홍스퍼피 인천본점,01028386300,True,200,1,success,1445217944
19,2026-09-08 16:36:10,펫샵/분양샵,인천,아담스펫 인천본점,01043195002,True,200,1,success,1445217966
20,2026-09-08 16:36:11,펫샵/분양샵,인천,테디럽 인천점,01026572252,True,200,1,success,1445217977
21,2026-09-08 16:36:12,펫샵/분양샵,인천,베이비몽 강아지분양 인천청라점,01099527025,True,200,1,success,1445217989
22,2026-09-08 16:36:12,펫샵/분양샵,경기,아이러브독 수원영통점,01093192357,True,200,1,success,1445218005
23,2026-09-08 16:36:13,펫샵/분양샵,경기,홍스퍼피 수원본점,01098206661,True,200,1,success,1445218021
24,2026-09-08 16:36:14,펫샵/분양샵,경기,시그니처펍스 위례본점,01023957347,True,200,1,success,1445218034
25,2026-09-08 16:36:14,펫샵/분양샵,경기,오케이독 부천본점,01036581932,True,200,1,success,1445218050
26,2026-09-08 16:36:16,펫샵/분양샵,경기,파라다이스펫 평택점,01072000083,True,200,1,success,1445218075
27,2026-09-08 16:36:16,펫샵/분양샵,경기,드림독 안심분양센터 평택점,01035927940,True,200,1,success,1445218086
28,2026-09-08 16:36:17,펫샵/분양샵,경기,모아펫 시흥본점,01095848249,True,200,1,success,1445218100
29,2026-09-08 16:36:18,펫샵/분양샵,경기,퍼피에몽 일산점,01052345670,True,200,1,success,1445218114
30,2026-09-08 16:36:18,펫샵/분양샵,경기,더펫 일산점,01034580430,True,200,1,success,1445218131
31,2026-09-08 16:36:19,펫샵/분양샵,경기,라펫 일산점,01059168546,True,200,1,success,1445218151
32,2026-09-08 16:36:20,펫샵/분양샵,경기,동물보육원 파주지부,01084299572,True,200,1,success,1445218174
33,2026-09-08 16:36:21,펫샵/분양샵,경기,유어펫라운지 파주점,01066192225,True,200,1,success,1445218190
34,2026-09-08 16:36:22,펫샵/분양샵,경기,도그캐슬 남양주다산점,01057992277,True,200,1,success,1445218198
35,2026-09-08 16:36:23,펫샵/분양샵,경기,스타트독 구리점,01057820703,True,200,1,success,1445218214
36,2026-09-08 16:36:24,펫샵/분양샵,경기,요미독 구리점,01023784101,True,200,1,success,1445218239
37,2026-09-08 16:36:26,펫샵/분양샵,경기,요미독 의정부점,01027082519,True,200,1,success,1445218259
38,2026-09-08 16:36:26,펫샵/분양샵,경기,착한애견분양 하남직영점,01028147457,True,200,1,success,1445218269
39,2026-09-08 16:36:27,펫샵/분양샵,경기,하남 멍앤냥,01058028047,True,200,1,success,1445218280
40,2026-09-08 16:36:28,펫샵/분양샵,경기,펫퍼스트 용인점,01067258687,True,200,1,success,1445218290
41,2026-09-08 16:36:28,펫샵/분양샵,경기,정순정 켄넬 용인,01048645937,True,200,1,success,1445218297
42,2026-09-08 16:36:29,펫샵/분양샵,경기,알로하펍앤코 경기광주,01076771281,True,200,1,success,1445218303
43,2026-09-08 16:36:30,펫샵/분양샵,부산,미유펫 부산본점,01093848944,True,200,1,success,1445218315
