순번,발송일시,분류,권역,상호및기관명,수신번호
44,2026-09-07 12:14:57,펫샵/분양샵,부산,퍼피몰리 부산본점,1033485245
45,2026-09-07 12:14:58,펫샵/분양샵,부산,라온캣 부산수영점,1022666373
46,2026-09-07 12:14:59,펫샵/분양샵,대구,미유펫 대구점,1072740075
47,2026-09-07 12:15:00,펫샵/분양샵,대구,테디럽 대구점,1032594059
48,2026-09-07 12:15:01,펫샵/분양샵,대구,라온캣 대구직영점,1073893028
49,2026-09-07 12:15:02,펫샵/분양샵,울산,미유펫 울산점,1026442565
50,2026-09-07 12:15:02,펫샵/분양샵,경남,창원 똥강아지,1039997882
51,2026-09-07 12:15:03,펫샵/분양샵,경북,우리펫 포항점,1049327359
52,2026-09-07 12:15:04,펫샵/분양샵,대전,애니멀즈 대전본점,1055978249
53,2026-09-07 12:15:04,펫샵/분양샵,대전,홍스퍼피 대전본점,1034999512
54,2026-09-07 12:15:05,펫샵/분양샵,대전,라온캣 대전본점,1083793028
55,2026-09-07 12:15:06,펫샵/분양샵,대전,더펫 대전유성점,1084697444
56,2026-09-07 12:15:06,펫샵/분양샵,충남,퍼피댕 천안점,1072853233
57,2026-09-07 12:15:07,펫샵/분양샵,충남,드림독 천안불당점,1082374410
58,2026-09-07 12:15:08,펫샵/분양샵,충북,퍼피댕 청주점,1072744411
59,2026-09-07 12:15:08,펫샵/분양샵,충북,한국동물보육원 청주지부,1042113245
60,2026-09-07 12:15:09,펫샵/분양샵,광주,아이러브독 광주점,1031431700
61,2026-09-07 12:15:09,펫샵/분양샵,광주,미유펫 광주점,1025606776
62,2026-09-07 12:15:10,펫샵/분양샵,전북,미니퍼피 전주점,1045751284
63,2026-09-07 12:15:11,펫샵/분양샵,강원,착한애견분양 원주본점,1086974363
64,2026-09-07 12:15:11,펫샵/분양샵,강원,노이펫 원주점,1071337034
65,2026-09-07 12:15:12,펫샵/분양샵,강원,컴투펫 원주점,1074953111
66,2026-09-07 12:15:12,펫샵/분양샵,제주,제주 요미독앤캣,1071929897
67,2026-09-07 12:15:13,동물약국,서울,개나리봄약국,1071502800
68,2026-09-07 12:15:13,동물약국,서울,은온누리약국,1098300640
69,2026-09-07 12:15:14,동물약국,서울,강동천사약국,1023593974
70,2026-09-07 12:15:14,동물약국,서울,열린창약국(자양동구의열린동물약국),1043511905
71,2026-09-07 12:15:15,동물약국,서울,서울동물약국(구로),1086775370
72,2026-09-07 12:15:15,동물약국,서울,광주약국(동작),1048364547
73,2026-09-07 12:15:16,동물약국,서울,셀약국(마포),1044777959
74,2026-09-07 12:15:16,동물약국,서울,휴베이스 이안약국,1034235447
75,2026-09-07 12:15:17,동물약국,서울,이화프라자약국,1091422053
76,2026-09-07 12:15:17,동물약국,서울,신트리약국,1064432676
77,2026-09-07 12:15:18,동물약국,서울,365백화점온누리약국,1039718811
78,2026-09-07 12:15:18,동물약국,서울,은평일등약국,1056071415
79,2026-09-07 12:15:19,동물약국,서울,종로엔약국,1043299848
80,2026-09-07 12:15:19,동물약국,서울,파란문약국(종로동물약국),1098806209
81,2026-09-07 12:15:20,동물약국,서울,1898광장약국,1065645637
82,2026-09-07 12:15:20,동물약국,서울,명동뷰티랩약국,1096243347
83,2026-09-07 12:15:21,동물약국,서울,보룡약국(중랑),1084307369
