분류,권역,시군구,상호및기관명,담당자,휴대폰번호_010,일반전화,도로명주소,특화및비고,발송템플릿
펫샵/분양샵,서울,성동구,미니펫 강아지분양 성수점,대표님,010-4099-9584,02-466-9584,서울특별시 성동구 성덕정길 89-1,프리미엄 강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,송파구,달루나캣츠 고양이전문 잠실본점,대표님,010-8020-5952,02-2299-0014,서울특별시 성동구 왕십리로 373,고양이 전문 분양샵,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,광진구,하이바이 분양소 구의점,대표님,010-3232-7969,02-453-7338,서울특별시 광진구 자양로 189,강아지/고양이 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,동대문구,미니 & 바니 애견샵 장안점,대표님,010-9455-8999,02-3394-5705,서울특별시 동대문구 장한로 21,애견 분양 및 미용,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,노원구,잇다펫 강아지분양 노원점,대표님,010-8300-1349,02-515-9996,서울특별시 노원구 한글비석로24길 6,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,노원구,개냥이네 노원본점,대표님,010-8811-1410,070-4193-0080,서울특별시 노원구 상계로7길 7,강아지/고양이 직영 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,영등포구,베이비몽 영등포 본점,대표님,010-8325-0086,02-6180-0086,서울특별시 영등포구 영중로 23,프리미엄 애견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,영등포구,퍼피로운 신길점,대표님,010-2786-4449,02-835-7572,서울특별시 영등포구 신길로 77,강아지 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,영등포구,요미독 영등포점,대표님,010-5161-1432,02-2634-8275,서울특별시 영등포구 영중로 15,반려동물 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,강남구,라온캣 강남직영점,대표님,010-5840-9508,02-548-8844,서울특별시 강남구 선릉로 551,고양이 전문 프리미엄 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,송파구,몽냥몽냥 송파점,대표님,010-7654-0456,02-415-7580,서울특별시 송파구 백제고분로 242,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,송파구,해피애견타운 송파본점,대표님,010-6825-3667,02-424-2955,서울특별시 송파구 삼학사로 72,애견 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,강동구,포포앤미루 강동점,대표님,010-8941-7176,02-471-8825,서울특별시 강동구 양재대로89가길 30,애견 분양 및 카페,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,금천구,더독스 금천본점,대표님,010-9221-9253,02-6487-2227,서울특별시 금천구 시흥대로 379,강아지 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,서울,성북구,요미독 성북점,대표님,010-8332-4987,02-909-2082,서울특별시 성북구 종암로21길 18,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,미추홀구,버디독 안심분양센터 인천점,대표님,010-5598-5948,070-4795-9394,인천광역시 미추홀구 주안로 148,강아지/고양이 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,연수구,퍼피하우스 인천송도점,대표님,010-8942-6023,070-4197-9594,인천광역시 연수구 신송로 165-19,소형견/특수견 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,남동구,홍스퍼피 인천본점,대표님,010-2838-6300,1670-2699,인천광역시 남동구 남동대로 890,강아지 프리미엄 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,남동구,아담스펫 인천본점,대표님,010-4319-5002,032-471-0289,인천광역시 남동구 인주대로 788,자견 전문 분양 및 케어,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,부평구,테디럽 인천점,대표님,010-2657-2252,032-551-7896,인천광역시 부평구 부평문화로 45,토이푸들/말티푸 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,인천,서구,베이비몽 강아지분양 인천청라점,대표님,010-9952-7025,032-561-9770,인천광역시 서구 옥빛로7번안길 3,안심 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,수원시,아이러브독 수원영통점,대표님,010-9319-2357,031-204-2357,경기도 수원시 영통구 반달로 84,말티푸/미니비숑 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,수원시,홍스퍼피 수원본점,대표님,010-9820-6661,031-226-1515,경기도 수원시 권선구 정조로 542,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,성남시,시그니처펍스 위례본점,대표님,010-2395-7347,031-757-4885,경기도 성남시 수정구 위례순환로4길 28,프리미엄 소형견 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,부천시,오케이독 부천본점,대표님,010-3658-1932,032-326-8990,경기도 부천시 원미구 길주로 279,대형/중소형견 전문 안심 분양,PetShop_B2B_LMS_Template.txt
