권역,지역구,약국명,약사직통휴대폰,일반전화,도로명주소,특화분야
서울,종로구,파란문약국(종로동물약국),010-9880-6209,02-730-6209,서울특별시 종로구 송월길 155 (교북동),동물약품 전용 상담코너
서울,강남구,개나리봄약국(강남동물약국),010-7150-2800,02-555-2800,서울특별시 강남구 역삼로 310 (역삼동),반려동물 장염/구충 복약상담
서울,서초구,휴베이스 이안약국,010-3423-5447,02-535-5447,서울특별시 서초구 신반포로 205 (반포동),동물용 상비약/영양제 전문
서울,동작구,광주약국(이수동물약국),010-4836-4547,02-599-4547,서울특별시 동작구 동작대로 127 (사당동),동물용 설사/소화기 의약품
서울,마포구,셀약국(홍대동물약국),010-4477-7959,02-332-7959,서울특별시 마포구 양화로 72 (서교동),반려견 소화기/처방 상담
서울,구로구,서울동물약국(구로),010-8677-5370,02-857-5370,서울특별시 구로구 구로동로 225 (구로동),동물약국협회 정회원
경기,남양주시,진접서울동물약국(아침약국),010-4204-4321,031-574-4321,경기도 남양주시 진접읍 금강로1573번길 9,경기북부 대형 동물약국
경기,남양주시,인생약국(수동동물약국),010-6461-8275,031-591-8275,경기도 남양주시 수동면 남가로 1588-1,동물용 소화기약 전용코너
경기,수원시,공감약국(영통동물약국),010-9464-4568,031-205-4568,경기도 수원시 영통구 덕영대로 1470 (망포동),영통구 대표 동물약국
경기,수원시,참약사순수약국,010-9744-9787,031-211-9787,경기도 수원시 영통구 에듀타운로 102 (이의동),광교동물약국 전문상담
경기,수원시,영통미루약국,010-7392-7693,031-202-7693,경기도 수원시 영통구 봉영로 1612 (영통동),동물용 지사제/보조제 취급
경기,안양시,365올바른약국,010-4068-7660,031-469-7660,경기도 안양시 만안구 태평로52번길 21 (안양동),365일 야간 동물약국 운영
경기,평택시,평택녹십자동물약국,010-2145-3307,031-652-3307,경기도 평택시 평택로 65 (평택동),동물약국협회 임원 약국
경기,안산시,건강이열리는약국,010-6464-7889,031-401-7889,경기도 안산시 단원구 선부광장1로 38 (선부동),문자 1:1 복약상담 전문
인천,서구,두리약국(청라동물약국),010-4482-2253,032-567-2253,인천광역시 서구 청라커낼로260번길 11 (청라동),청라국제도시 동물약국
인천,서구,블루팜약국,010-9492-2248,032-562-2248,인천광역시 서구 중봉대로 610 (청라동),동물약품 전용 진열대 보유
인천,계양구,인천시민약국,010-2763-3764,032-544-3764,인천광역시 계양구 계양대로 206 (작전동),반려동물 장건강 복약지도
대구,서구,평리제일약국&초코동물약국,010-3083-2595,053-565-2595,대구광역시 서구 서대구로 192 (평리동),대구 대표 동물약국 블로그
대구,북구,즐거운약국(팔달시장동물약국),010-2380-2996,053-356-2996,대구광역시 북구 팔달로37길 15 (노원동3가),동물용 지사/소화제 상담
대구,달서구,마더스약국 성서점,010-2165-7558,053-585-7558,대구광역시 달서구 이곡동로 24 (이곡동),달서구 동물약품 취급약국
부산,부산진구,사나약국(서면동물약국),010-6602-0837,051-802-0837,부산광역시 부산진구 중앙대로 701 (부전동),서면 중심가 동물약국
경남,김해시,정성약국(김해동물약국),010-2971-5060,055-337-5060,경상남도 김해시 분성로 310 (동상동),김해 동물약국 전문상담
경북,김천시,아포동물약국,010-7749-7115,054-433-7115,경상북도 김천시 아포읍 아포대로 1045,경북권 가축/반려동물 약국
대전,중구,고려약국(대전동물약국),010-2792-2155,042-256-2155,대전광역시 중구 계백로 1592 (유천동),대전 중구 대표 동물약국
광주,광산구,영광통약국 멍냥동물약국,010-9221-9415,062-944-9415,광주광역시 광산구 상무대로 252 (송정동),광주 대표 멍냥동물약국
광주,광산구,선운포도약국,010-2120-0031,062-941-0031,광주광역시 광산구 선운중앙로 46 (선암동),카카오톡 1:1 상담약국
충북,청주시,늘봄동물약국,010-3233-7800,043-277-7800,충청북도 청주시 서원구 사직대로 248 (사직동),청주 고려동물병원 옆 동물약국
전남,목포시,365 청호큰약국,010-9679-0923,061-285-0923,전라남도 목포시 원형로 11 (상동),목포 365 연중무휴 동물약국
강원,춘천시,맑은온누리약국,010-2562-2051,033-255-2051,강원특별자치도 춘천시 영서로 2279 (온의동),춘천 동물약품 전문 취급
강원,강릉시,하나로약국(강릉동물약국),010-4883-0439,033-648-0439,강원특별자치도 강릉시 옥천로 37 (옥천동),강릉 동물약국 전문상담
