권역,시군구,약국명,약사직통휴대폰,일반전화,도로명주소,특화분야,데이터출처
서울,강남구,개나리봄약국,010-7150-2800,,서울 강남구 역삼로 310,홍익메디케어 공식거래처 (동물약품 10종 보유),홍익메디케어(HKMEDI)
서울,강남구,은온누리약국,010-9830-0640,,서울 강남구 학동로 224,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
서울,강동구,강동천사약국,010-2359-3974,,서울 강동구 올림픽로 806,홍익메디케어 공식거래처 (동물약품 22종 보유),홍익메디케어(HKMEDI)
서울,광진구,열린창약국(자양동구의열린동물약국),010-4351-1905,,서울 광진구 자양로13길 19,홍익메디케어 공식거래처 (동물약품 27종 보유),홍익메디케어(HKMEDI)
서울,구로구,서울동물약국(구로),010-8677-5370,02-857-5370,서울특별시 구로구 구로동로 225 (구로동),동물약국협회 정회원,대한동물약국협회/약사직통
서울,동작구,광주약국(동작),010-4836-4547,,서울 동작구 동작대로 127,홍익메디케어 공식거래처 (동물약품 12종 보유),홍익메디케어(HKMEDI)
서울,마포구,셀약국(마포),010-4477-7959,,서울 마포구 양화로 72,홍익메디케어 공식거래처 (동물약품 19종 보유),홍익메디케어(HKMEDI)
서울,서초구,휴베이스 이안약국,010-3423-5447,,서울 서초구 신반포로 205,홍익메디케어 공식거래처 (동물약품 2종 보유),홍익메디케어(HKMEDI)
서울,성북구,이화프라자약국,010-9142-2053,,서울 성북구 보국문로 50,홍익메디케어 공식거래처 (동물약품 30종 보유),홍익메디케어(HKMEDI)
서울,양천구,신트리약국,010-6443-2676,,서울 양천구 신정로 312,홍익메디케어 공식거래처 (동물약품 9종 보유),홍익메디케어(HKMEDI)
서울,은평구,365백화점온누리약국,010-3971-8811,,서울 은평구 연서로 257,홍익메디케어 공식거래처 (동물약품 2종 보유),홍익메디케어(HKMEDI)
서울,은평구,은평일등약국,010-5607-1415,,서울 은평구 은평로 56,홍익메디케어 공식거래처 (동물약품 3종 보유),홍익메디케어(HKMEDI)
서울,종로구,종로엔약국,010-4329-9848,,서울 종로구 종로 65,홍익메디케어 공식거래처 (동물약품 9종 보유),홍익메디케어(HKMEDI)
서울,종로구,파란문약국(종로동물약국),010-9880-6209,02-730-6209,서울특별시 종로구 송월길 155 (교북동),동물약품 전용 상담코너,대한동물약국협회/약사직통
서울,중구,1898광장약국,010-6564-5637,,서울 중구 명동길 74,홍익메디케어 공식거래처 (동물약품 28종 보유),홍익메디케어(HKMEDI)
서울,중구,명동뷰티랩약국,010-9624-3347,,서울 중구 명동10길 35-3,홍익메디케어 공식거래처 (동물약품 5종 보유),홍익메디케어(HKMEDI)
서울,중랑구,보룡약국(중랑),010-8430-7369,,서울 중랑구 공릉로2길 8-4,홍익메디케어 공식거래처 (동물약품 6종 보유),홍익메디케어(HKMEDI)
경기,고양시,건강드림약국(고양),010-5413-6478,,경기 고양시 덕양구 도래울로 52,홍익메디케어 공식거래처 (동물약품 3종 보유),홍익메디케어(HKMEDI)
경기,광주시,꼼꼼약국,010-4639-1077,,경기 광주시 광주대로 52,홍익메디케어 공식거래처 (동물약품 6종 보유),홍익메디케어(HKMEDI)
